,0
0,Florida
1,Georgia
2,Idaho
3,Illinois
4,Indiana
5,Iowa
6,Kentucky
7,Maine
8,Maryland
9,Massachusetts
10,Minnesota
11,Mississippi
12,Montana
13,Nebraska
14,Nevada
15,New Hampshire
16,New Jersey
17,New Mexico
18,North Carolina
19,Oklahoma
20,Oregon
21,Pennsylvania
22,Rhode Island
23,South Carolina
24,Tennessee
25,Utah
26,Vermont
27,Virginia
28,Washington
29,West Virginia
30,Wisconsin
31,Wyoming
